USER_ID,AMOUNT,DATE_TIME
1,-5000.00,2025-11-15 19:30:00
1,10000.00,2025-10-15 7:30:00
1,10000.00,2025-11-01 7:30:00
1,10000.00,2025-10-15 7:30:00
1,10000.00,2025-10-01 7:30:00
1,10000.00,2025-09-15 7:30:00
2,30.00,2025-11-15 11:30:00
2,-10.00,2025-11-14 19:30:00
2,-5.00,2025-11-11 13:30:00
2,15.00,2025-11-05 16:30:00
2,-15.00,2025-10-10 19:30:00
3,40.00,2025-11-10 15:30:00
3,-250.00,2025-11-05 16:30:00
3,-50.00,2025-11-01 11:30:00
3,-100.00,2025-10-10 19:30:00
3,500.00,2025-09-10 12:30:00
1,-40,2025-11-16 17:02:16
1,-40,2025-11-16 17:03:39
1,-10000,2025-11-16 17:18:43
1,10000,2025-11-16 17:18:51
